DateTime,Open,High,Low,Close,Volume,SMA_10,SMA_20,EMA_10,RSI,MACD,Signal_Line,Upper_Band,Lower_Band,Signal
2023-01-01 00:00:00,1.08103,1.08103,1.08019,1.08054,2651,,,1.08054,,0.0,0.0,,,HOLD
2023-01-01 01:00:00,1.0801,1.08043,1.07974,1.08028,2292,,,1.0804927272727272,,-2.0740740740876618e-05,-4.148148148175324e-06,,,HOLD
2023-01-01 02:00:00,1.08036,1.08158,1.07961,1.08054,1796,,,1.0805013223140494,,-1.601350638402721e-05,-6.5212197953457015e-06,,,HOLD
2023-01-01 03:00:00,1.08068,1.08126,1.07973,1.08088,4019,,,1.080570172802404,,1.499516448100202e-05,-2.217942940076157e-06,,,HOLD
2023-01-01 04:00:00,1.08042,1.08042,1.07967,1.0803,2207,,,1.0805210504746945,,-7.148984151550408e-06,-3.2041511823710075e-06,,,HOLD
2023-01-01 05:00:00,1.07981,1.08053,1.07981,1.07998,2972,,,1.0804226776611134,,-4.994398397317745e-05,-1.2552117740532298e-05,,,HOLD
2023-01-01 06:00:00,1.08023,1.08153,1.08023,1.08087,1534,,,1.0805040089954565,,-1.190651677940302e-05,-1.2422997548306444e-05,,,HOLD
2023-01-01 07:00:00,1.08075,1.0812,1.08061,1.08108,1350,,,1.080608734632646,,3.47827411848467e-05,-2.981849801675815e-06,,,HOLD
2023-01-01 08:00:00,1.08001,1.08116,1.08001,1.08058,3505,,,1.080603510153983,,3.108021974718156e-05,3.83056410809566e-06,,,HOLD
2023-01-01 09:00:00,1.08046,1.08048,1.07969,1.08017,4348,1.080522,,1.080524690125986,,-4.881359381814221e-06,2.0881794101136835e-06,,,HOLD
2023-01-01 10:00:00,1.07958,1.07958,1.07908,1.07926,2345,1.080394,,1.080294746466716,,-0.0001055933503304,-1.9448126537998308e-05,,,HOLD
2023-01-01 11:00:00,1.07933,1.0797,1.07858,1.07906,3457,1.080272,,1.080070247109131,,-0.0001992498292753,-5.5408467085464153e-05,,,HOLD
2023-01-01 12:00:00,1.07995,1.07995,1.07926,1.07945,2928,1.080163,,1.0799574749074707,,-0.0002392456480579,-9.217590327997036e-05,,,HOLD
2023-01-01 13:00:00,1.08068,1.08136,1.08068,1.08114,5020,1.080189,,1.0801724794697487,54.31034482758527,-0.0001330401425676,-0.0001003487511375,,,HOLD
2023-01-01 14:00:00,1.08073,1.0811,1.0801,1.0809,1989,1.080249,,1.0803047559297942,52.49999999999915,-6.74598731087439e-05,-9.377097553175431e-05,,,HOLD
2023-01-01 15:00:00,1.08044,1.08063,1.07973,1.08036,3488,1.0802869999999998,,1.0803148003061953,50.534759358289264,-5.8387469707987805e-05,-8.669427436700102e-05,,,HOLD
2023-01-01 16:00:00,1.08036,1.08099,1.08009,1.08047,2450,1.080247,,1.0803430184323417,49.52251023192353,-4.183914830080404e-05,-7.772324915376163e-05,,,HOLD
2023-01-01 17:00:00,1.07876,1.08032,1.0787,1.07888,2579,1.080027,,1.0800770150810068,38.34498834498898,-0.0001552347466478,-9.322554865256997e-05,,,HOLD
2023-01-01 18:00:00,1.07877,1.07893,1.07769,1.07871,3390,1.07984,,1.07982846688446,40.26927784577789,-0.0002558696485246,-0.0001257543686269,,,HOLD
2023-01-01 19:00:00,1.07828,1.07864,1.07773,1.07863,1814,1.079686,1.080104,1.079610563814558,41.48802017654547,-0.000338180530069,-0.0001682396009154,1.0817319066312292,1.0784760933687707,SELL
2023-01-01 20:00:00,1.07879,1.08002,1.07859,1.07869,2929,1.0796290000000002,1.0800115,1.0794431885755476,34.64788732394386,-0.0003940288785144,-0.0002133974564352,1.081742094969185,1.0782809050308149,SELL
2023-01-01 21:00:00,1.07718,1.07785,1.07681,1.07743,4387,1.079466,1.079869,1.0790771542890845,27.607361963190883,-0.0005338071699916,-0.0002774793991464,1.081941983103493,1.0777960168965066,HOLD
2023-01-01 22:00:00,1.07965,1.0797,1.07863,1.07895,1816,1.0794160000000002,1.0797895,1.0790540353274327,41.11232279171212,-0.0005159832425736,-0.0003251801678319,1.0818760430993064,1.0777029569006935,SELL
2023-01-01 23:00:00,1.07834,1.07925,1.07786,1.07833,2483,1.079135,1.079662,1.0789223925406266,40.19189765458406,-0.0005455971656211,-0.0003692635673897,1.081779382694197,1.0775446173058032,SELL
2023-01-02 00:00:00,1.07769,1.07769,1.07669,1.07719,2014,1.078764,1.0795065,1.0786074120786946,39.229968782518256,-0.0006535214966056,-0.0004261151532329,1.0818691860272067,1.0771438139727931,SELL
2023-01-02 01:00:00,1.07718,1.07718,1.07654,1.07684,3878,1.078412,1.0793495,1.0782860644280228,38.62704918032843,-0.0007585502858773,-0.0004926021797618,1.0819816452127595,1.0767173547872404,SELL
2023-01-02 02:00:00,1.07536,1.07536,1.07497,1.07511,1606,1.0778760000000005,1.0790615,1.0777085981683825,30.450450450450205,-0.000970199049143,-0.000588121553638,1.0822041256203174,1.0759188743796828,SELL
